log-sigma-5-0-mm-3D_glcm_InverseVariance,wavelet-HLH_gldm_SmallDependenceEmphasis,lbp-3D-m2_glrlm_ShortRunEmphasis,logarithm_firstorder_RobustMeanAbsoluteDeviation,label
0.4387001022282122,0.6927289887590432,0.4216857936504004,0.9117551441625038,0
0.7438238875829326,0.2360069996242097,0.3255945655546972,0.3331089705367597,1
0.9402752196624384,0.3802937588417684,0.5309638339944646,0.1665244550343622,1
0.3658732413628927,0.9566460654333744,0.4462307160287662,1.0,0
0.4669476419937976,1.0,0.0,0.6858575534636439,0
0.4761221353522664,0.6088798155085051,0.3457095281322529,0.6970469802550203,0
0.5510649561198724,0.5137689492450794,0.4402538001289687,0.5881193027452477,1
0.7064233563962993,0.507134217558365,0.1806606675541512,0.904248528880802,0
0.6314738656342513,0.4262873791257169,0.4328420446921618,0.6384515892649866,0
0.9854938952136242,0.609814588900373,0.6579180735257446,0.3023704904157946,1
0.5004983158263548,1.0,0.570706658656402,0.685161016845632,0
0.7809705043524037,0.503501588158535,0.4689460984956801,0.4679885357548426,1
0.0,1.0,1.0,0.0,1
0.0197786047804583,1.0,0.0279126213592237,0.863498609639232,0
0.4159157599200125,0.7446059127347898,0.4756865789301677,0.5799360227274232,0
0.8355601573482083,0.1593849093244658,0.3682634510087147,0.3040063162148373,1
1.0,0.5868625058945126,0.6885106947930261,0.1355895999567169,1
0.4442681114536764,0.4004468073347194,0.3712791772676128,0.3992121201582688,0
0.6231835515230835,1.0,0.51744941424131,0.1751288536485095,0
0.8556897154704796,0.1789295657586071,0.5473768616583391,0.6082616933549102,1
0.9870437163019288,0.0,0.310537873324083,0.4520501279681013,1
